"Checked
Overené","Commands
Príkazy","Mittigation / Best practice configuration
Mitigácia / Konfigurácia typu “Best practice”","Attack / Issue
Útok / Problém","Plane [DATA|CONTROL
|MANAGEMENT]","Protocol
Protokol","Severity
Závažnosť
[CRITICAL|HIGH
|MEDIUM|LOW|NOTIFY]
CCNA SEC STUDY GUIDE","Facility
Zariadenie
[R/L3SW|L2SW]","Facility layer
Zariadenie operujúce na vrstve
[ACC/DIST/CORE]","Source(s)
Zdroj(e)","Prerequisite
Prerekvizita
","Ports
Porty","Comments
Komentáre","MY Comment"
,"login quiet-mode access-class <acl name>","Allow admin to access from IP when unsuccessful logins disabled management connection due to DOS guessing / Povolenie prístupu administrátorovi na základe IP adresy, keď je protokol na manažovanie zariadení nedostupný kvôli DOS útoku","Login in to device is not possible due many unsuccessful logins due to DOS / Prihlásenie na zariadenie nie je možné kvôli zablokovaniu pre príliš veľa neúspešných pokusov","Management","NONE","MEDIUM","ALL","ALL","Cisco router configuration handbook
https://www.samuraj-cz.com/clanek/cisco-ios-23-autentizace-uzivatele-na-switchi-vuci-active-directory/",,,,
,"NO
line vty <num> <num>
 transport input all
 transport input telnet

line tty <num> <num>
 transport input all
 transport input telnet

line con <num>
 transport input all
 transport input telnet

line aux <num>
 transport input all
 transport input telnet","Do not allow telnet when SSH is enabled / Zakázať telnet ak je SSH aktívne","Possible access to device through telnet when SSH is present / Možné prihlásenie do zariadenia cez telnet keď je prítomné SSH","Management","NONE","CRITICAL","ALL","ALL",,,,,
,"banner motd
banner login
banner exec","Legal messages notice / Právne upozornenie pri prístupe k zariadeniu","NONE / NIE JE","Management","NONE","LOW","ALL","ALL","CCNA SECURITY STUDY GUIDE
CIS https://www.cisecurity.org/cis-benchmarks/#cisco
Cisco Router Hardening",,,,
,"line vty <num> <num>
 exec-timeout 5

line tty <num> <num>
 exec-timeout 5

line con <num>
 exec-timeout 5

line aux <num>
 exec-timeout 5","Management connection maximum timeout / Čas vypršania sedenia pre protokol na manažovanie zariadení","Long inactive sessions can be stolen or physical access to device which is not lock can be used to manipulate with configurations / Dlhé neaktívne sedenie môže byť zneužité alebo aj fyzický prístup útočníka k aktívnneum sedeniu môže viesť k zmene konfigurácie","Management","NONE","MEDIUM","ALL","ALL","CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco
Cisco Router Hardening
Cisco SAFE Reference Guide
",,,,
,"service password-encryption","Encrypt passwords in clear text / Zašifrovaniee hesiel v otvorenej podobe","Read passwords from stolen configurations / Možnosť prečítať heslá z uniknutých konfigurácií","Management","NONE","CRITICAL","ALL","ALL","CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco",,,,"POOR SECURITY, PASSWORD CAN BE EASILY CRACKED"
,"enable secret <secret password>","Set password for editing device configuration / Vytvorenie hesla na editovanie konfigurácie zariadenia","Unauthorized editing of device configuration / Nepovolená zmena konfigurácie zariadenia","Management","NONE","CRITICAL","ALL","ALL","CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco
Cisco Router Hardening",,,,"Cisco router hardening a CIS je poznamka, ze type 7 je napadnutelny a aj typ sifry"
,"NO enable password <password>","Set password for editing device configuration / Vytvorenie hesla na editovanie konfigurácie zariadenia","Unauthorized editing of device configuration / Nepovolená zmena konfigurácie zariadenia","Management","NONE","CRITICAL","ALL","ALL","CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco
Cisco Router Hardening",,,,"Cisco router hardening a CIS je poznamka, ze type 7 je napadnutelny a aj typ sifry"
,"username secret <username> <secret password>","Local secured accounts / Lokálne zabezpečené účty","Unauthorized access to management of device / Nepovolený prístup k manažmentu konfigurácie zariadenia","Management","NONE","CRITICAL","ALL","ALL","
Cisco Guide to Harden Cisco IOS Devices https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html
CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco",,,,
,"NO username password  <username> <password>","Local secured accounts / Lokálne zabezpečené účty","Unauthorized access to management of device / Nepovolený prístup k manažmentu konfigurácie zariadenia","Management","NONE","CRITICAL","ALL","ALL","
Cisco Guide to Harden Cisco IOS Devices https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html
CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco",,,,
,"aaa new-model
radius server <radius server name>
  address ipv4 <ip adddress> / address ipv6 <ipv6 adddress>
  key <password>

or 

radius-server host <ip adddress>
radius-server key <password>

aaa group server radius <radius group>
  server name <radius server name>
aaa authentication login default / <radius login> group <radius group> local enable

line tty <num> <num>
  login authentication default / <radius login>
line vty <num> <num>
  login authentication default / <radius login>
line con <num>
  login authentication default / <radius login>
line aux <num>
  login authentication default / <radius login>","Define and enable AAA server for login with fallback mechanism / Definovanie a povolenie AAA serveru na prihlásenie a definovanie záložného prihlásenia","Traceability of administrators and confiiguration they made, centralization / Centrálna správa prihlásení a dohľadateľnosť zmien v konfigurácií","Management","RADIUS/TACACS+/KERBEROS","HIGH","ALL","ALL","Hardening Cisco Routers
CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco
CCNA SECURITY STUDY GUIDE
Cisco Router Hardening",,,,"Pozri aj SLSP konfiguracie, tam sa to nastavuje trosku inak, niekde  som nasiel aj jednoriackovy cmd, v GNS nejde radius-server host 10.0.0.10 auth-port 1645 acct-port 1646 key 1234567890
Xca3-08 xca4 switch ch07"
,"aaa new-model
tacacs server <tacacs server name>
  address ipv4 <ip adddress> / address ipv6 <ipv6 adddress>
  key <password>

or 

tacacs-server host <ip adddress>
tacacs-server key <password>

aaa group server tacacs <tacacs group>
  server name <tacacs server name>
aaa authentication login default / <tacacs login> group <tacacs group> local enable

line tty <num> <num>
  login authentication default / <tacacs login>
line vty <num> <num>
  login authentication default / <tacacs login>
line con <num>
  login authentication default / <tacacs login>
line aux <num>
  login authentication default / <tacacs login>","Define and enable AAA server for login with fallback mechanism / Definovanie a povolenie AAA serveru na prihlásenie a definovanie záložného prihlásenia","Traceability of administrators and confiiguration they made, centralization / Centrálna správa prihlásení a dohľadateľnosť zmien v konfigurácií","Management","RADIUS/TACACS+/KERBEROS","HIGH","ALL","ALL","Hardening Cisco Routers
CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco
CCNA SECURITY STUDY GUIDE
Cisco Router Hardening",,,,"Pozri aj SLSP konfiguracie, tam sa to nastavuje trosku inak – r11veterna1
TODO KERBEROS"
,"aaa authentication enable default group <radius group> enable
","Define and enable AAA for editing configuration with fallback mechanism / Definovanie a povolenie AAA serveru na editáciu konfigurácií a definovanie záložného prihlásenia","Traceability of administrators and confiiguration they made, centralization / Centrálna správa prihlásení a dohľadateľnosť zmien v konfigurácií","Management","RADIUS/TACACS+/KERBEROS","MEDIUM","ALL","ALL","CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco
Cisco Router Hardening",,,,
,"NO aaa authentication enable default enable","Define and enable AAA for editing configuration with fallback mechanism / Definovanie a povolenie AAA serveru na editáciu konfigurácií a definovanie záložného prihlásenia","Traceability of administrators and confiiguration they made, centralization / Centrálna správa prihlásení a dohľadateľnosť zmien v konfigurácií","Management","RADIUS/TACACS+/KERBEROS","MEDIUM","ALL","ALL","CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco
Cisco Router Hardening",,,,"AAA is not contacted, local enable password is used"
,"aaa authentication attempts login 3","Set max authentication attempts after which account will be blocked / Definovanie maximálneho počtu neúspešných pokusov o prihlásenie a následné zablokovanie účtu","Guessing credentials / Hádanie prístupových údajov","Management","RADIUS/TACACS+/KERBEROS","HIGH","ALL","ALL","CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco
Cisco Router Hardening",,,,
,"avoid aaa authentication login.*none.*","Disable fallback method in AAA to be no authentication / Zakázať záložné prihlásenie bez poskynutia autentizačných prostriedkov","Login without credentiials / Prihlásenie bez prihlasovacích údajov","Management","RADIUS/TACACS+/KERBEROS","CRITICAL","ALL","ALL","Cisco Guide to Harden Cisco IOS Devices
https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html",,,,
,"avoid aaa authentication login default local","AAA must not use local account as first login choice / AAA nesmie používať ako prvú možnosť prihlásenia lokálny účet ","AAA primarily uses local accounts instead of centralized on server / AAA používa primárne lokálne účty namiesto centralizovaných na serveri","Management","RADIUS/TACACS+/KERBEROS","HIGH","ALL","ALL",,,,,
,"aaa authorization exec <radius login> group <radius group> local if-authenticated","Setup AAA authorization for commands execution. When AAA server stop working and fallback method is present, user is authenticated via it / Nastavenie AAA autorizácie pre spúštanie príkazov. V prípade výpadku AAA serveru, bude užívateľ odhlásený a následne prihlásený podľa  záložného prihlásenia, aby mu nebolo pridelené vysoké oprávnenie umožňujúce vykonávať príkazy, na ktoré nemá právo","User logged in to device through AAA can execute all commands / Používateľ prihlásený do zariadenia môže spúšťať akékoľvek príkazy","Management","RADIUS/TACACS+/KERBEROS","HIGH","ALL","ALL","Auditing Device Configurations to Ensure Compliance
https://www.cisco.com/c/en/us/td/docs/net_mgmt/prime/infrastructure/3-1-5/user/guide/pi_ug/compliance.pdf
Cisco Router Hardening
Cisco Guide to Harden Cisco IOS Devices
https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html",,,,"https://community.cisco.com/t5/policy-and-access/difference-between-if-authenticated-and-none-keyword/td-p/1270499"
,"aaa authorization commands 15 <radius login> group <radius group> local if-authenticated ","Setup AAA authorization for commands execution. When AAA server stop working and fallback method is present, user is authenticated via it / Nastavenie AAA autorizácie pre spúštanie príkazov. V prípade výpadku AAA serveru, bude užívateľ odhlásený a následne prihlásený podľa  záložného prihlásenia, aby mu nebolo pridelené vysoké oprávnenie umožňujúce vykonávať príkazy, na ktoré nemá právo","User logged in to device through AAA can execute all commands / Používateľ prihlásený do zariadenia môže spúšťať akékoľvek príkazy","Management","RADIUS/TACACS+/KERBEROS","HIGH","ALL","ALL","Auditing Device Configurations to Ensure Compliance
https://www.cisco.com/c/en/us/td/docs/net_mgmt/prime/infrastructure/3-1-5/user/guide/pi_ug/compliance.pdf
Cisco Router Hardening
Cisco Guide to Harden Cisco IOS Devices
https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html",,,,"https://community.cisco.com/t5/policy-and-access/difference-between-if-authenticated-and-none-keyword/td-p/1270499"
,"aaa accounting connection
aaa accounting commands
aaa accounting exec
","Setup AAA accounting of executed commands and connections to device / Nastavenie AAA účtovania respektíve logovania pripojení a vykonaných príkazov","Administrator can issue bad command which is hard to find after a time / Administrátor vloží zlý príkaz a po čase je ho nemožné dohľadať a zjednať nápravu","Management","RADIUS/TACACS+/KERBEROS","HIGH","ALL","ALL","CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco",,,,
,"NO snmp-server community
NO snmp-server host  version 1/2c
snmp-server group <group name> v3 priv ","Use SNMP version 3  when SNMP is enabled / Použitie SNMP verie 3 pokiaľ je SNMP používané","Eavesdropping of SNMP v1 and v2c  / Odpočúvanie SNMP verzie 1 a 2c","Management","SNMP","CRITICAL","ALL","ALL","CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco
Cisco Router Hardening",,,,
,"ip radius source interface loopback <id>
ip tacacs source interface loopback <id>","Specify loopback source interface for AAA connections / Definovanie loopback zdrojového rozhrania pre AAA","AAA source interface is not same on every boot / AAA zdrojové rozhranie nie je rovnaké pri každom reštarte","Management","RADIUS/TACACS+/KERBEROS","MEDIUM","ALL","ALL","CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco",,,,
,"snmp-server view <view name> iso included
snmp-server group <group name> v3 priv read <view name>","Restrict SNMP view for read-only / Obmedzenie SNMP iba na čítanie","Modify configuration of device by SNMP / Modifikovanie konffigurácie pomocou SNMP","Management","SNMP","CRITICAL","ALL","ALL","CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco
Cisco Router Hardening
NIST
https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-131Ar2.pdf
CIS Cisco IOS 15 Benchmark v4.0.0  https://www.cisecurity.org/cis-benchmarks/#cisco
Hardening Cisco Routers",,,,
,"ip access-list standard <acl name>
 remark permit only this IP 
 permit <ip address> <wildcard mask>
 deny any log-input
ipv6 access-list <acl name>
 remark permit only this IP 
 permit <ipv6 address>/<prefix> any
 remark deny other
 deny any any log-input
snmp-server group <group name> v3 priv read <view name>  access <acl name>","Restrict SNMP only for specific IP addresses with ACL / Obmedzenie SNMP iba pre vybrané IP adresy","Unauthorized access to SNMP informations / Neoprávnený prístup k SNMP informáciám","Management","SNMP","HIGH","ALL","ALL","CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco
Cisco Router Hardening",,,,
,"snmp-server host <ip adddress> traps version 3 priv <user>
snmp-server host <ip adddress> version 3 priv <user>","Enable SNMP server traps / Povolenie asynchrónnych správ SNMP TRAP","NONE / NIE JE","Management","SNMP","MEDIUM","ALL","ALL","CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco
Cisco Router Hardening
NIST
https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-131Ar2.pdf
CIS Cisco IOS 15 Benchmark v4.0.0  https://www.cisecurity.org/cis-benchmarks/#cisco
Hardening Cisco Routers",,,,
,"snmp-server user <user> <group name> v3 auth sha <password> pri aes 128 <password>","Setup SNMP v3 user with at least 128bit AES encryption and SHA hash function / Vytvorenie SNMP verzie 3 užívateľa s minimálnym šifrovaním AES 128 bit a hashovacou funkciou SHA","Eavesdropping SNMP  session due to weak encryption and  hash / Odpočúvanie SNMP sedenie z dôvodu slabého šifrovania a hashovacej  funkcie","Management","SNMP","CRITICAL","ALL","ALL","NIST
https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-131Ar2.pdf
CIS Cisco IOS 15 Benchmark v4.0.0  https://www.cisecurity.org/cis-benchmarks/#cisco
Hardening Cisco Routers",,,,
,"snmp-server location <location>","Specify SNMP server location / Definovanie lokácie SNMP serveru","NONE / NIE JE","Management","SNMP","LOW","ALL","ALL",,,,,
,"snmp-server trap-source loopback <id>","Specify loopback source interface for SNMP /  Definovanie loopback zdrojového rozhrania pre SNMP","SNMP source interface is not same on every boot / SNMP zdrojové rozhranie nie je rovnaké pri každom reštarte","Management","SNMP","MEDIUM","ALL","ALL",,,,,
,"snmp-server ifindex persist","SNMP persistent name of interfaces after reboot / SNMP statické nemenné meno rozhrania aj po reštarte zariadenia","Changing name of interfece between reboots and unable to monitor through SNMP / Zmeny názvov rozhraní medzi reštartami a nemožnosť monitorovanie pomocou SNMP","Management","SNMP","HIGH","ALL","ALL",,,,,"xca3-08, https://www.cisco.com/c/en/us/td/docs/switches/lan/catalyst6500/ios/12-2SX/configuration/guide/book/ifindx.html"
,"logging on
logging host <ip adddress>","Enable SYSLOG logging and set SYSLOG server / Povolenie logovania protokolom SYSLOG a špecifikovanie IP adresy SYSLOG serveru","Administrator does not know about issues sourcing on device / Administrátor nemá povedomie o problémoch na zariadení","Management","SYSLOG","HIGH","ALL","ALL","CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco
Cisco Router Hardening",,,,
,"logging trap informational","Setup SYSLOG logging severity to INFORMATIONAL / Špecifikovanie dôležitosti oznámenií SYSLOG na INFORMATIONAL","NONE / NIE JE","Management","SYSLOG","MEDIUM","ALL","ALL","CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco",,,,
,"logging source-interface loopback <id>","Specify loopback source interface for SYSLOG /  Definovanie loopback zdrojového rozhrania pre SYSLOG","SYSLOG source interface is not same on every boot / SYSLOG zdrojové rozhranie nie je rovnaké pri každom reštarte","Management","SYSLOG","MEDIUM","ALL","ALL","Cisco Guide to Harden Cisco IOS Devices
https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html
CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco",,,,
,"service timestamp log datetime
service timestamp debug datetime","Setup time format for logging and debugging information / Definovanie formátu času pre logovacie a ladiace výstupy","NONE / NIE JE","Management","SYSLOG","MEDIUM","ALL","ALL","CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco
Cisco Router Hardening",,,,
,"logging console critical","Display SYSLOG messages with severity CRITICAL and greater to console / Vypisovanie SYSLOG správ CRITICAL a dôležitejších do terminálu","NONE / NIE JE","Management","SYSLOG","MEDIUM","ALL","ALL","
Cisco Guide to Harden Cisco IOS Devices https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html
CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco",,,,
,"logging buffered 64000 6","Set SYSLOG buffer to enough size and appropriate severity / Definovanie veľkosti SYSLOG buffera dôležitosti oznámení na INFORMATIONAL","Small SYSLOG buffer drops important messages / Malá vyrovnávacia pamäť pre SYSLOG je dôvodom zahadzovanie správ","Management","SYSLOG","HIGH","ALL","ALL","Cisco Guide to Harden Cisco IOS Devices https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html",,,,
,"logging persistent url flash:/syslog","Setup backup logging location when SYSLOG server is not  accessible / Definovanie dočasného úložiska SYSLOG správ v prípade nedostupnosti servera","Inaccesible SYSLOG server leads to not saving important messages / Neprístupný SYSLOG server spôsobuje zahadzovanie dôležitých syslog správ","Management","SYSLOG","HIGH","ALL","ALL","Cisco Guide to Harden Cisco IOS Devices https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html",,,,
,"no CDP run 
no cdp enable","Disable discovery protocol CDP / Zakázanie protokolu CDP","Network scan and information about network by management protocol CDP or usage of their security bugs / Skenovanie a zistenie informácií o sieti za pomoci protokolu CDP a využitie bezpečnostných chýb","Management","CDP","CRITICAL","ALL","ALL","CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco
Cisco Router Hardening",,,,
,"no LLDP run 
no lldp receive 
no lldp transmit","Disable discovery protocol LLDP / Zakázanie protokolu LLDP","Network scan and information about network by management protocol LLDP or usage of their security bugs / Skenovanie a zistenie informácií o sieti za pomoci protokolu LLDP a využitie bezpečnostných chýb","Management","LLDP","CRITICAL","ALL","ALL","Cisco CCNA Security Study Guide",,,,
,"ntp server <ip adddress>","Setup NTP to have accurate time for logs / Nastavenie NTP serveru pre aktuálny čas v logoch","Inconsistency of logs time and hard to associate them with relevant incidents / Nekonzistencia časov v logoch a problém pričlenenia logov k relevantným incidentom","Management","NTP","HIGH","ALL","ALL","Network Security Auditing
Cisco Guide to Harden Cisco IOS Devices
https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html
CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco",,,,
,"ntp authenticate
ntp authentication-key 1 md5 <password>
trusted-key 1","Setup NTP authentication / Nastavenie NTP autentizácie","Connecting server with same allowed IP address but wrong time / Pripojenie servera s rovnakou IP adresou, ale falošným časom","Management","NTP","HIGH","ALL","ALL","Network Security Auditing
Cisco Guide to Harden Cisco IOS Devices
https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html
CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco",,,,
,"ntp source loopback <id>","Specify loopback source interface for NTP /  Definovanie loopback zdrojového rozhrania pre NT","NTP source interface is not same on every boot / NTP zdrojové rozhranie nie je rovnaké pri každom reštarte","Management","NTP","MEDIUM","ALL","ALL","Network Security Auditing
Cisco Guide to Harden Cisco IOS Devices
https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html
CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco",,,,
,"ntp server <ip adddress> version 4","Use NTP v4 / Použitie NTP verzie 4","NTP stronger security (pub/priv key) and IPv6 support / Väčšia bezpečnosť (pub/priv key) NTP a podpora IPv6","Management","NTP","MEDIUM","ALL","ALL","https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/bsm/configuration/15-2mt/ip6-ntpv4.html#GUID-DEEA332A-22EC-4742-8A68-94D5DFDB9BFA",,,,
